日期,AQI,范围,质量等级,PM2.5,PM10,SO2,CO,NO2,O3,排名,最高气温,最低气温,天气,Wind_dir,风力
2014/2/15,428,358~500,严重污染,392.6,448.6,100.2,3.772,109.7,33,186,4,-4,多云,北风,小于3级
2014/2/16,339,183~470,严重污染,296,204,79.1,3.178,87.6,77,178,3,-4,多云转阴,南风,小于3级
2014/2/17,138,73~276,轻度污染,105.1,51.6,66.5,2.067,72.5,67,145,2,-4,多云转阴,西南风,小于3级
2014/2/18,96,59~133,良,70.8,84.1,37.6,1.13,61.3,52,141,5,-4,小雪转晴,西风,小于3级
2014/2/19,87,24~173,良,64.3,71.6,33.7,1.198,60.3,71,95,6,-5,晴,西南风,小于3级
2014/2/20,212,172~314,重度污染,164.4,174.8,44.8,2.168,78.9,24,167,6,-4,雾转霾,东北风,小于3级
2014/2/21,309,285~326,严重污染,258.6,284.1,77.8,2.671,100.8,35,184,4,-2,雾转霾,东北风,小于3级
2014/2/22,314,283~341,严重污染,262.9,300.4,101.9,3.351,101.5,24,182,4,0,雾转霾,东风,小于3级
2014/2/23,261,234~291,重度污染,210.6,245.6,129.7,3.608,91.9,15,172,7,-1,雾转霾,东风,小于3级
2014/2/24,310,275~399,严重污染,259.8,327.3,133.1,4.743,119.4,25,176,9,1,雾转霾,东北风,小于3级
2014/2/25,403,383~419,严重污染,354.3,389.1,78.3,5.229,121.6,16,182,10,2,雾转小雨,西风,小于3级
2014/2/26,331,84~500,严重污染,315.5,250.1,80.5,3.701,105.6,29,162,9,2,阴转晴,北风,3-4级
2014/2/27,33,18~61,优,16.5,24.3,13.3,0.472,25.3,73,16,5,-3,晴转阴,西南风,小于3级
2014/2/28,106,58~185,轻度污染,77.8,102,32.6,1.505,71.4,49,149,10,-2,多云转晴,东北风,小于3级
2014/3/1,57,23~127,良,38.4,57.2,23.4,0.84,48.1,79,63,11,-2,晴,西南风,小于3级
2014/3/2,177,137~257,中度污染,134.7,165,60.5,2.577,93.5,47,162,8,-2,晴转霾,东风,小于3级
2014/3/3,268,213~316,重度污染,217.5,247.9,96,4.165,102.2,8,184,8,1,阴转晴,东北风,3-4级转4-5级
2014/3/4,86,17~288,良,56.9,77.6,27.5,1.263,39.6,82,55,9,-3,晴,东北风,3-4级转小于3级
2014/3/5,39,24~61,优,19.6,34.8,16,0.771,34.9,77,26,7,-3,晴,北风,小于3级
2014/3/6,36,24~71,优,15.8,27.9,14.2,0.599,29.2,82,22,8,-3,晴,西南风,小于3级
2014/3/7,68,23~94,良,48.1,72.4,25.7,1.064,52.8,75,91,8,-1,阴转晴,南风,小于3级
2014/3/8,172,94~224,中度污染,130.7,165.5,67.9,2.262,91.6,49,166,8,-2,晴,东北风,小于3级
2014/3/9,126,37~189,轻度污染,94.5,118,45,1.575,68.2,89,130,11,-2,霾,东风,小于3级
2014/3/10,109,46~193,轻度污染,81,100.9,53.4,1.672,72.2,57,99,12,2,霾转阴,北风,小于3级
2014/3/11,205,51~261,重度污染,154.8,195.7,76,2.355,80.4,87,159,10,3,小雨转晴,东北风,4-5级转3-4级
2014/3/12,37,31~52,优,10.6,22.7,9,0.408,25.7,85,13,13,-2,晴转多云,东北风,小于3级
2014/3/13,56,20~215,良,19.6,75,14.3,0.61,36.7,90,49,16,3,多云转晴,西北风,小于3级
2014/3/14,62,28~144,良,20.6,78.8,13.3,0.506,31.2,93,44,19,2,晴,西南风,小于3级
2014/3/15,129,89~219,轻度污染,94,172.7,43,1.464,89.1,86,132,17,5,晴转多云,东风,小于3级
2014/3/16,152,98~222,中度污染,113,198.3,76.5,2.112,72.2,117,148,19,5,多云转晴,东南风,3-4级转4-5级
2014/3/17,182,61~500,中度污染,82.9,240.7,26.9,1.198,49.7,81,139,15,5,晴,北风,4-5级转小于3级
2014/3/18,88,50~160,良,37.2,123.8,17,0.623,36.2,101,59,10,6,阴,南风,小于3级转3-4级
2014/3/19,75,53~93,良,46.1,93,16.9,0.772,45.8,85,58,17,5,晴,北风,4-5级转3-4级
2014/3/20,38,29~55,优,10.3,27,5.2,0.382,22.5,92,13,20,4,晴,西北风,小于3级
2014/3/21,55,25~91,良,24.8,64,11,0.622,43.4,102,45,23,5,晴,西南风,小于3级
2014/3/22,83,37~162,良,46.8,114.6,16.3,0.841,53.4,109,82,20,6,晴转多云,东风,小于3级
2014/3/23,176,117~268,中度污染,134.1,182.7,43.6,1.554,68.9,167,168,22,6,多云转晴,东南风,小于3级
2014/3/24,270,218~299,重度污染,220.1,249.2,52.9,1.985,93.3,144,188,24,8,霾,北风,小于3级
2014/3/25,250,214~294,重度污染,199.7,236.6,42.8,1.611,92.2,186,182,24,9,霾,西南风,小于3级
2014/3/26,319,243~408,严重污染,268.9,318.3,42.9,1.96,110.5,181,184,24,10,霾,东风,小于3级
2014/3/27,294,134~414,重度污染,249.3,300.3,33.7,2.367,106.7,31,177,21,13,阵雨转多云,北风,小于3级
2014/3/28,169,82~218,中度污染,127.5,170.8,24.6,1.686,66,104,162,22,11,多云转晴,东北风,小于3级
2014/3/29,72,41~204,良,39.1,76,7,0.58,36.6,99,64,24,8,晴,西南风,小于3级
2014/3/30,64,30~97,良,31.4,77.6,8,0.54,57.7,100,48,19,10,阴,南风,小于3级
2014/3/31,172,55~296,中度污染,132.9,183.2,34.5,1.754,80.5,109,159,22,9,多云,东风,小于3级
2014/4/1,138,74~234,轻度污染,104.4,117.5,17.1,0.924,60.3,142,152,22,11,多云转阴,西南风,小于3级
2014/4/2,132,90~176,轻度污染,99.3,158.5,20.7,0.987,57.6,152,164,20,10,阴转晴,南风,3-4级转4-5级
2014/4/3,64,19~106,良,22.7,79.5,5.7,0.457,36.1,100,72,24,7,晴,西南风,小于3级转4-5级
2014/4/4,92,63~112,良,31.7,131.5,8.4,0.561,39.6,109,120,21,8,晴,东南风,3-4级转小于3级
2014/4/5,65,33~104,良,21.8,80.3,5.9,0.383,29,107,60,26,6,晴,西南风,小于3级
2014/4/6,97,60~122,良,52.7,142.8,12.3,0.655,58.2,124,136,27,9,晴,西南风,小于3级
2014/4/7,133,96~210,轻度污染,97.3,175.7,19.9,0.799,62.2,181,169,25,10,晴,东南风,小于3级
2014/4/8,224,207~260,重度污染,173.5,237.3,37.7,1.469,82.2,212,184,28,12,霾转多云,南风,3-4级转4-5级
2014/4/9,194,99~294,中度污染,121.3,238.8,19.2,0.904,50.3,114,171,18,12,晴转阴,东风,3-4级转小于3级
